Model,Train_RMSE,Train_MAE,Train_R2,Train_Spearman,Test_RMSE,Test_MAE,Test_R2,Test_Spearman
OLS__NoScaler,25.692011624091016,21.064090046177622,0.4053186005456032,0.6526445384397122,25.701773749555795,20.823279417477913,0.4156951709673955,0.6681542663994589
Lasso__NoScaler,25.6933212082418,21.077082459302993,0.4052579742937412,0.6524241617066424,25.700365096475544,20.841171461842652,0.4157592179277054,0.6678986916165709
ElasticNet__NoScaler,26.097120492597355,21.664777174288467,0.3864170026913477,0.6383272964060166,25.92478209867054,21.43689927826237,0.4055114249636822,0.664672017986755
OLS__StandardScaler,25.692011624091016,21.064090046177668,0.4053186005456032,0.6526445384397122,25.701773749555837,20.82327941747803,0.4156951709673936,0.6681542663994589
Lasso__StandardScaler,25.692014283911345,21.06444829575472,0.40531847741427496,0.6526525628355186,25.700887796009404,20.82382498750326,0.41573545285753855,0.6682008698011835
ElasticNet__StandardScaler,25.692043679992754,21.064972865322318,0.405317116577693,0.6526673656541737,25.698555891943986,20.825092158825676,0.41584147153474726,0.6682341305194073
OLS__RobustScaler,25.692011624091016,21.06409004617767,0.4053186005456032,0.6526445384397122,25.701773749555837,20.823279417478037,0.4156951709673936,0.6681542663994589
Lasso__RobustScaler,25.69201546145468,21.06450663498245,0.4053184229021395,0.6526541800131791,25.70068268807685,20.82394058115048,0.41574477835758317,0.6681803038303915
ElasticNet__RobustScaler,25.692075042067856,21.065236192458265,0.4053156647273951,0.65267920633429,25.69711483511438,20.82568875937232,0.4159069835454815,0.6683323528279858
OLS__MinMaxScaler,25.692011624091016,21.06409004617767,0.4053186005456032,0.6526445384397122,25.701773749555837,20.823279417478037,0.4156951709673936,0.6681542663994589
Lasso__MinMaxScaler,25.69217148559804,21.0683429454548,0.4053112000382494,0.6526192395268647,25.696225481659084,20.829257553068732,0.4159474126875564,0.6682302429029915
ElasticNet__MinMaxScaler,25.743382124034987,21.16600294333981,0.40293812350973446,0.6499533553369403,25.761108232542124,20.993946560002986,0.41299423337714947,0.666561999505619
OLS__MaxAbsScaler,25.692011624091016,21.064090046177665,0.4053186005456032,0.6526445384397122,25.701773749555837,20.82327941747803,0.4156951709673936,0.6681542663994589
Lasso__MaxAbsScaler,25.692177698918208,21.06830457289814,0.40531091240258843,0.6526886900520197,25.695555590905006,20.828628714538965,0.41597786434502093,0.6681623296038767
ElasticNet__MaxAbsScaler,25.72854461191661,21.151836547289214,0.4036261729520316,0.6510694662661775,25.70174199333404,20.955005644763833,0.41569661486013554,0.6690903180408978
OLS__QuantileNorm,24.815345044800477,20.222197064956852,0.4452098120065452,0.6791860556557462,24.76411147553205,20.009627942548388,0.4575511612732571,0.6835285894421775
Lasso__QuantileNorm,24.815354582447174,20.22272048771216,0.4452093855451108,0.6791731696031935,24.76409137576987,20.011483367131255,0.4575520418288337,0.683499528309588
ElasticNet__QuantileNorm,24.81545035488391,20.222969964377864,0.4452051032164921,0.6791607953631861,24.76141066568372,20.012172932991042,0.45766947533245494,0.6837614384673757
OLS__Power_YeoJohnson,24.788136269411662,20.136553209383553,0.4464257440069881,0.6794814926044367,24.74651176910998,20.05228657946327,0.45832191760289365,0.6873268386756387
Lasso__Power_YeoJohnson,24.78818131541505,20.1377099197509,0.4464237320501231,0.6794754520915428,24.749257568628998,20.05498500714579,0.45820170494849055,0.6874547940505081
ElasticNet__Power_YeoJohnson,24.788412525348566,20.14013325626298,0.4464134051183165,0.6794935552574662,24.748715200875697,20.05701707558698,0.45822545117226166,0.6876575740425647
